1,1856545568,7,3,9,2
2,269300510,24,131,57,7
3,117433303,26,213,478,49
4,1856573641,3,3,1,0
5,749952350,990501,98,22845,4
6,335320739,338089,106472,7219,0
7,311621453,348784,117720,6480,1
8,184910040,18694411,174,193,13
9,23976386,13431353,85,1747,110
10,207923746,1147530,294,7851,143
11,27042513,3427631,55,680,39
12,409486555,5328932,9,766,43
13,25365536,18782213,146,16303,53
14,58528137,4661040,16542,5104,85
15,972651,3628564,2731,91617,46
16,56318573,65218,364,6104,16
17,20751449,386973,64,56640,11
18,256495314,166035,710,146275,8
19,207773069,608084,6,618,44
20,289888727,134680,271,1647,146
21,93778378,27618,20377,10365,30
22,206052014,904761,50,46498,5
23,14075928,5514974,11,25183,7
24,243381107,2103583,490,921,103
25,17329538,331451,822,24051,137
26,120965579,192189,122,23134,168
27,9810192,154855,83176,2662,20
28,18839785,2846984,887,3320,29
29,1337785291,1093780,67,259,24
30,288333760,700891,39,658,59
31,382267114,3787115,26,236,11
32,42220353,466859,269,14889,50
33,27602673,321229,360,11803,69
34,113278275,1335192,82,3550,81
35,14123683,2256405,81,1723,81
36,5988062,4155056,112,23349,0
37,22940219,16270158,0,291,20
38,85603854,25680039,340,2611,162
39,816653,3113764,835,65501,39
40,19895282,3262486,0,515,14
42,19397785,22254929,160,8140,150
43,139556944,1712108,14,293,3
44,3108351,3692863,799,65951,95
45,35094637,17832148,448,4478,127
46,122995784,946769,34,3037,113
47,16190898,12242896,564,8423,141
48,603073195,177853,10,1161,3
49,113419517,4585859,52,1278,78
50,18948541,4973556,189,2801,61
51,133880286,8208584,120,335,46
52,20609518,8125976,0,965,0
53,2142731,2245020,148919,10326,131
54,97865628,2435214,79,2791,85
55,601393440,97258,12,2610,1
56,20536157,7587652,397,4577,56
57,807095,10163732,832,119858,29
58,50374439,7429867,24,516,7
59,74286565,3551745,1050,6515,91
60,56505125,3059599,85,782,69
61,15670515,3012071,2296,67123,260
62,69089266,804,392,1608,9
63,20296320,2159,467,3268,22
64,418554800,1408,257,816,82
65,14462907,58011,533,7048,37
66,2803191,2372155,1158,4155,77
67,96013710,412078,86,33523,0
68,138822469,382543,91,5944,103
69,525060895,831485,94,28146,1
70,390860562,1403356,163,40456,2
71,265902729,1638754,75,65965,62
72,79293791,32845998,985,8697,56
73,26566469,54547,245,34923,9
74,19058681,15267408,709,8118,63
75,21394594,3592,171,14004,44
76,125567504,64158,1484,15663,17
77,284920800,55686,62,28725,1
78,14511951,3584824,5477,287609,19
80,373416209,656403,431,2601,145
81,52757166,262224,14,13146,167
82,15439395,6416310,51345,17791,87
83,14857290,834899,237,12103,47
84,277434037,1095755,28,89,2
85,128132759,57,81,0,0
86,19929890,1095254,300,71483,178
87,137616033,547635,27,6045,147
88,105654296,548326,12,7100,2
89,70931004,333150,481,19390,50
90,153460007,-2,-2,-2,-2
91,15082523,8033,5383,5232,40
92,352053266,129563,278,1478,121
93,813286,40145453,655770,10422,29
94,56304605,994419,365,23097,64
95,90420314,7172897,69,1655,61
96,14885549,1005860,16493,34534,22
97,50725573,1049792,219,3840,122
98,344634424,5414984,70,1362,100
99,742143,5007107,59,155566,61
100,97082147,842994,692,14379,176
101,115486770,156998,550,3763,128
102,89503894,1178424,298,3518,123
103,121341102,270669,172,2576,177
104,22575307,1698697,431,4383,87
105,145607857,84771,301,7253,122
106,260741931,39196,385,644,59
107,273653939,31729,854,821,79
108,62591681,1841483,41,931,24
109,13348,368143,40560,65167,253
110,18863815,11511899,2115,3147,94
111,50090898,681725,74,1103,57
112,296459271,59942,31,436,9
113,34244360,81,150,73,2
114,40885516,656000,206702,13511,75
115,37060788,327944,219,9850,54
116,19980499,476687,222,7757,98
117,22256645,2187475,236373,21584,0
118,87170183,3195739,240,18022,153
119,15492359,2159908,77,1594,16
120,26589987,4044887,295,11934,85
121,77888423,5894278,14,31953,6
122,11348282,5369948,204,28115,89
123,128155589,2338169,70,1210,44
124,145125358,7258167,843,27271,97
125,24705126,1978021,449,20287,134
126,16887507,409828,189,32010,24
127,93711247,881424,17,736,16
128,81477946,30674,1,3709,1
129,259925559,2536020,521,1366,95
130,200362172,39,178,313,16
131,73375494,121,381,2373,101
132,294830358,14383,77,739,91
133,33838201,470774,18,440,10
134,22209176,509229,1134,30310,223
135,89517005,226331,281,3471,115
136,356893311,286328,3,209,3
137,183230911,614430,158,736,71
138,309824558,49974,16,51,2
139,139640302,370,1677,195,0
140,151837247,774,1867,19,0
141,127114796,32,22,5,0
142,208548449,4571,5935,1126,40
143,18154243,113,446,932,87
144,403432755,282,534,30,0
145,492102595,8,100,0,0
146,255408643,34,599,1,0
147,16425197,970819,360,21865,187
148,111906894,1223784,55,53460,3
149,17193794,514668,2801,23372,83
150,186113747,40572,222,298,29
151,51552352,24585,894,192777,195
152,41012588,92007,397,5745,93
153,873334429,25167,170,1933,150
154,412656361,20579,144,290,65
155,456593827,13915,71,4371,85
156,177623318,142621,556,19992,46
157,566237773,73858,162,1421,127
158,138002210,168853,41,399,33
159,491581948,43835,31,4813,203
160,38824552,12271,540,15576,110
161,350334760,48623,23,190,13
162,412801575,101634,811,964,187
163,436482631,250880,113,6699,129
164,1052284897,22720,12,239,17
165,622796109,53871,34,476,44
